|FastCharge_KmH|RapidCharge|PowerTrain|PlugType|BodyStyle|Seats|PriceEuro|connector
0|940.0|Yes|AWD|Type 2 CCS|Sedan|5.0|55480|100
1|250.0|Yes|RWD|Type 2 CCS|Hatchback|?|30000|101
2|620.0|Yes|AWD|Type 2 CCS|Liftback|5.0|56440|102
3|560.0|Yes|RWD|Type 2 CCS|SUV|5.0|68040|103
4|190.0|Yes|RWD|Type 2 CCS|Hatchback|4.0|32997|104
5|620.0|Yes|AWD|missing_type|Sedan|5.0|105000|105
6|220.0|Yes|FWD|Type 2 CCS|Hatchback|5.0|31900|106
7|420.0|Yes|FWD|Type 2 CCS|Hatchback|5.0|29682|107
8|650.0|Yes|RWD|Type 2 CCS|Sedan|?|46380|108
9|540.0|Yes|AWD|Type 2 CCS|SUV|5.0|55000|109
10|440.0|Yes|AWD|Type 2 CCS|SUV|5.0|69484|110
11|230.0|Yes|FWD|Type 2 CHAdeMO|Hatchback|5.0|29234|111
12|380.0|Yes|FWD|Type 2 CCS|SUV|5.0|40795|112
13|650.0|Yes|RWD|Type 2 CCS|Sedan|5.0|65000|113
14|210.0|Yes|FWD|Type 2 CCS|Liftback|5.0|34459|114
15|590.0|Yes|RWD|Type 2 CCS|Hatchback|4.0|40936|115
16|780.0|Yes|AWD|missing_type|Sedan|4.0|180781|116
17|170.0|Yes|FWD|Type 2 CCS|Hatchback|4.0|21421|117
18|260.0|Yes|FWD|Type 2 CCS|SUV|5.0|30000|118
19|260.0|Yes|FWD|Type 2 CCS|Hatchback|4.0|31681|119
20|420.0|Yes|FWD|Type 2 CCS|Hatchback|?|29146|120
21|930.0|Yes|AWD|Type 2 CCS|SUV|7.0|58620|121
22|230.0|Yes|RWD|Type 2 CCS|SUV|5.0|35000|122
23|850.0|Yes|AWD|Type 2 CCS|Sedan|4.0|125000|123
24|910.0|Yes|AWD|Type 2 CCS|Sedan|5.0|61480|124
25|560.0|Yes|RWD|missing_type|SUV|5.0|45000|125
26|490.0|Yes|RWD|Type 2 CCS|Hatchback|5.0|33000|126
27|470.0|Yes|AWD|Type 2 CCS|SUV|5.0|60437|127
28|270.0|Yes|RWD|Type 2 CCS|Hatchback|4.0|38017|128
29|380.0|Yes|FWD|Type 2 CCS|SUV|5.0|34361|129
30|450.0|Yes|AWD|Type 2 CCS|SUV|5.0|67358|130
31|350.0|Yes|FWD|Type 2 CCS|SUV|?|38105|131
32|230.0|Yes|FWD|missing_type|Hatchback|5.0|31184|132
33|710.0|Yes|AWD|Type 2 CCS|Pickup|6.0|75000|133
34|240.0|Yes|FWD|Type 2 CCS|SUV|5.0|32646|134
35|390.0|Yes|FWD|Type 2 CHAdeMO|Hatchback|5.0|37237|135
36|190.0|Yes|FWD|Type 2 CHAdeMO|SUV|?|50000|136
37|570.0|Yes|RWD|Type 2 CCS|Hatchback|4.0|45000|137
38|230.0|Yes|FWD|missing_type|Hatchback|5.0|33133|138
39|440.0|Yes|AWD|Type 2 CCS|SUV|5.0|45000|139
40|560.0|Yes|AWD|Type 2|Liftback|5.0|79990|140
41|210.0|Yes|FWD|Type 2 CCS|SUV|?|33971|141
42|610.0|Yes|AWD|Type 2 CCS|SUV|?|81639|142
43|170.0|Yes|FWD|Type 2 CCS|Hatchback|4.0|24534|143
44|170.0|Yes|FWD|Type 2 CCS|Hatchback|4.0|20129|144
45|340.0|Yes|FWD|missing_type|SUV|5.0|36837|145
46|210.0|Yes|FWD|Type 2 CCS|MPV|5.0|41906|146
47|730.0|Yes|AWD|Type 2 CCS|Sedan|4.0|102945|147
48|540.0|Yes|AWD|Type 2 CCS|Liftback|5.0|149000|148
49|350.0|Yes|FWD|Type 2 CCS|SUV|?|36057|149
50|590.0|Yes|AWD|Type 2 CCS|SUV|?|79445|150
51|920.0|Yes|AWD|missing_type|Cabrio|4.0|215000|151
52|390.0|Yes|FWD|Type 2 CCS|SUV|?|35000|152
53|560.0|Yes|RWD|Type 2 CCS|SUV|?|40000|153
54|490.0|Yes|AWD|Type 2|SUV|7.0|85990|154
55|190.0|Yes|RWD|Type 2 CCS|Hatchback|4.0|35921|155
56|380.0|Yes|FWD|Type 2 CCS|SUV|5.0|37422|156
57||No|RWD|Type 2|Hatchback|4.0|24790|157
58|380.0|Yes|FWD|Type 2 CCS|SUV|5.0|40000|158
59|550.0|Yes|AWD|Type 2|Liftback|5.0|96990|159
